property_type,bhk,area,locality,city,price_in_crore,new_resale,age_of_property,bathrooms,carpet_area,floor,balconies,furnishing_type,facing,amenities_score,furnishing_score,study_room,servant_room,pooja_room
Flat,2,1200.0,Miyapur,Hyderabad,0.8,New,New Property,2,1064.52,3.0,1.0,Unfurnished,East,78,6,0,0,0
Flat,3,1475.0,East Marredpally,Hyderabad,1.6,Resale,Moderately New Property,2,1308.47,5.0,1.0,Furnished,NorthEast,9,0,0,0,0
Flat,2,1270.0,Nizampet,Hyderabad,0.93,New,New Property,2,1126.61,2.0,1.0,Unfurnished,East,41,0,0,0,0
Flat,2,1100.0,Miyapur,Hyderabad,1.0,Resale,Moderately New Property,1,975.81,1.0,1.0,Semi-Furnished,North,0,0,0,0,0
Flat,2,1085.0,Hyderguda,Hyderabad,0.7,Resale,Moderately New Property,2,962.5,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,2,1200.0,Pragathi Nagar Kukatpally,Hyderabad,0.44,Resale,Moderately New Property,2,1064.52,1.0,1.0,Unfurnished,East,13,0,0,0,0
Flat,4,1890.0,Kondapur,Hyderabad,0.96,Resale,Old Property,4,1676.61,2.0,1.0,Unfurnished,East,39,51,1,1,1
Flat,3,1597.0,Narsingi,Hyderabad,1.11,New,New Property,3,1416.69,5.0,1.0,Unfurnished,East,32,0,0,0,0
House,2,1000.0,Narsingi,Hyderabad,0.8,New,New Property,2,887.1,2.0,1.0,Semi-Furnished,East,28,0,0,0,0
Flat,2,936.0,Isnapur,Hyderabad,0.42,New,New Property,1,830.32,1.0,1.0,Unfurnished,East,0,0,0,0,0
House,2,1800.0,Gandhamguda Road,Hyderabad,0.69,Resale,Moderately New Property,2,1596.77,2.0,1.0,Unfurnished,West,23,7,0,0,1
Flat,3,1680.0,Patancheru,Hyderabad,0.75,Resale,Moderately New Property,3,1490.32,4.0,1.0,Unfurnished,East,25,0,0,0,0
Flat,3,1505.0,Aminpur,Hyderabad,0.78,New,New Property,3,1335.08,5.0,1.0,Semi-Furnished,East,19,6,0,0,0
Flat,2,1290.0,Miyapur,Hyderabad,0.62,New,New Property,2,1144.35,16.0,2.0,Semi-Furnished,North,0,0,1,1,1
Flat,3,1855.0,Kompally,Hyderabad,0.87,New,New Property,3,1645.56,1.0,1.0,Unfurnished,East,39,0,0,0,0
Flat,2,1105.0,Patancheru,Hyderabad,0.5,New,New Property,2,980.24,3.0,1.0,Unfurnished,West,9,7,0,0,0
Flat,5,2500.0,Habsiguda,Hyderabad,1.0,New,New Property,4,2217.74,9.0,1.0,Semi-Furnished,East,0,0,0,0,0
House,4,5500.0,Kompally,Hyderabad,6.0,Resale,New Property,4,4879.03,2.0,1.0,Unfurnished,East,31,6,0,0,1
House,4,3000.0,Tellapur,Hyderabad,2.5,New,New Property,4,2661.29,2.0,1.0,Unfurnished,East,0,0,0,0,0
Flat,2,1345.0,Kokapet,Hyderabad,0.98,New,New Property,2,1193.15,2.0,1.0,Unfurnished,East,44,0,0,0,0
House,3,2200.0,Kapra,Hyderabad,1.45,New,New Property,2,1951.61,2.0,2.0,Unfurnished,North,4,0,0,0,0
Flat,2,1150.0,Ameenpur,Hyderabad,0.57,New,New Property,2,1020.16,2.0,2.0,Unfurnished,West,34,0,0,0,0
Flat,3,2040.0,Gandipet,Hyderabad,1.93,New,New Property,2,1809.68,1.0,1.0,Unfurnished,East,54,6,0,0,0
House,4,3400.0,B N Reddy Nagar,Hyderabad,2.0,New,New Property,4,3016.13,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,2,1000.0,Puppalaguda,Hyderabad,0.68,New,Moderately New Property,2,887.1,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,3,2085.0,Kukatpally,Hyderabad,1.37,New,New Property,3,1849.6,4.0,1.0,Unfurnished,East,8,0,0,0,0
Flat,3,1912.0,Chandanagar,Hyderabad,0.66,Resale,Moderately New Property,3,1696.13,5.0,1.0,Unfurnished,East,18,35,0,0,0
House,3,1350.0,Krishna Reddy Pet,Hyderabad,1.2,New,New Property,3,1197.58,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,3,1900.0,Puppalaguda,Hyderabad,1.24,New,New Property,3,1685.48,4.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,2,1150.0,Ameenpur,Hyderabad,0.57,New,New Property,2,1020.16,2.0,2.0,Unfurnished,West,34,0,0,0,0
Flat,3,2440.0,Kondapur,Hyderabad,2.45,New,New Property,3,2164.52,5.0,1.0,Unfurnished,East,40,14,0,0,0
Flat,3,1800.0,Kukatpally,Hyderabad,1.25,Resale,Moderately New Property,3,1596.77,14.0,2.0,Semi-Furnished,East,72,7,0,0,1
Flat,3,1540.0,Pragathi Nagar Kukatpally,Hyderabad,0.92,New,New Property,3,1366.13,1.0,1.0,Unfurnished,East,32,0,0,0,0
House,2,1500.0,Patancheru,Hyderabad,0.45,Resale,Moderately New Property,2,1330.65,2.0,1.0,Unfurnished,East,0,0,0,0,0
House,5,5460.0,Tellapur,Hyderabad,8.4,Resale,New Property,5,4843.55,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,2,1250.0,Narsingi,Hyderabad,0.84,New,New Property,2,1108.87,2.0,1.0,Unfurnished,East,57,6,0,0,0
Flat,4,4052.0,Madhapur,Hyderabad,5.06,New,New Property,4,3594.52,3.0,1.0,Unfurnished,East,42,0,0,0,0
Flat,2,1325.0,Manikonda,Hyderabad,0.8,New,New Property,2,1175.4,2.0,2.0,Unfurnished,East,0,0,0,0,0
Flat,2,1200.0,Ahs Colony,Hyderabad,0.62,Resale,Old Property,2,1064.52,3.0,1.0,Unfurnished,West,31,6,0,0,1
House,6,6000.0,Narayanguda,Hyderabad,11.25,Resale,Moderately New Property,6,5322.58,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,3,1600.0,Madhapur,Hyderabad,0.99,New,New Property,3,1419.35,6.0,2.0,Unfurnished,East,32,6,0,0,0
House,4,3411.0,Bandlaguda Jagir,Hyderabad,5.68,New,New Property,4,3025.89,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,3,2262.0,Tellapur,Hyderabad,1.7,New,New Property,3,2006.61,16.0,1.0,Unfurnished,East,19,0,0,0,0
Flat,3,1642.0,Appa Junction Peerancheru,Hyderabad,0.9,New,Moderately New Property,3,1456.61,10.0,1.0,Unfurnished,West,65,0,0,0,0
Flat,3,2010.0,Gandi Maisamma,Hyderabad,1.22,New,Moderately New Property,3,1783.06,5.0,2.0,Unfurnished,East,32,6,0,0,0
Flat,3,2731.0,Kompally,Hyderabad,0.87,New,New Property,4,2422.66,1.0,1.0,Unfurnished,East,15,0,0,0,0
Flat,3,1695.0,Nanakramguda,Hyderabad,1.61,New,New Property,2,1503.63,11.0,1.0,Unfurnished,East,0,0,0,0,0
Flat,2,1000.0,Adibatla,Hyderabad,0.43,New,New Property,2,887.1,2.0,1.0,Unfurnished,East,31,6,0,0,1
Flat,2,1135.0,Pragathi Nagar Kukatpally,Hyderabad,0.64,New,Moderately New Property,2,1006.85,1.0,1.0,Unfurnished,North,13,0,0,0,0
Flat,2,1005.0,Bachupally,Hyderabad,0.35,New,New Property,2,891.53,5.0,1.0,Furnished,East,0,0,0,0,0
Flat,3,1175.0,Bachupally,Hyderabad,0.76,New,New Property,3,1042.34,2.0,1.0,Unfurnished,East,46,0,0,0,0
House,3,2200.0,Chinthal,Hyderabad,1.8,Resale,Moderately New Property,2,1951.61,2.0,2.0,Unfurnished,South,4,0,0,0,0
Flat,3,3030.0,Narsingi,Hyderabad,2.12,New,New Property,3,2687.9,5.0,1.0,Unfurnished,East,57,0,0,0,0
Flat,2,1150.0,Ameenpur,Hyderabad,0.54,New,New Property,2,1020.16,1.0,2.0,Unfurnished,West,34,0,0,0,0
Flat,2,920.0,Miyapur,Hyderabad,0.56,Resale,Moderately New Property,2,816.13,3.0,1.0,Unfurnished,East,58,0,0,0,0
Flat,2,1075.0,Kokapet,Hyderabad,0.81,New,New Property,2,953.63,6.0,1.0,Unfurnished,East,42,0,0,0,0
Flat,3,1839.0,Miyapur,Hyderabad,1.01,New,New Property,3,1631.37,7.0,1.0,Unfurnished,East,45,0,0,0,0
Flat,3,1620.0,Cherlapalli,Hyderabad,0.72,New,New Property,3,1437.1,5.0,1.0,Unfurnished,East,32,0,0,0,0
House,4,4157.0,Gachibowli,Hyderabad,1.9,Resale,Old Property,4,3687.66,2.0,1.0,Unfurnished,East,43,0,0,1,1
Flat,3,1640.0,Nallagandla Gachibowli,Hyderabad,1.14,New,New Property,3,1454.84,2.0,1.0,Semi-Furnished,East,0,0,0,0,0
Flat,3,1860.0,Vanasthalipuram,Hyderabad,1.2,New,New Property,3,1650.0,5.0,1.0,Semi-Furnished,North,9,0,0,0,0
Flat,2,1175.0,Nagole,Hyderabad,0.58,New,Moderately New Property,2,1042.34,1.0,1.0,Unfurnished,West,18,0,0,0,0
Flat,2,1200.0,Tellapur,Hyderabad,0.48,New,New Property,2,1064.52,2.0,1.0,Semi-Furnished,North,27,13,0,0,1
Flat,4,5345.0,Attapur,Hyderabad,4.54,New,New Property,4,4741.53,10.0,1.0,Unfurnished,East,28,0,0,0,0
Flat,2,1022.0,Patancheru,Hyderabad,0.4,Resale,Moderately New Property,2,906.61,3.0,1.0,Furnished,East,0,0,0,0,0
Flat,3,2055.0,Bowrampet,Hyderabad,1.13,New,New Property,3,1822.98,2.0,1.0,Unfurnished,East,34,0,0,0,0
House,3,3391.0,Kompally,Hyderabad,1.6,New,New Property,4,3008.15,2.0,1.0,Unfurnished,East,78,0,0,0,0
